mu_DM,sigma_DM,alpha,A
1.259999999999999964e+01,2.837931034482758519e-01,1.743589743589743501e-01,3.359502072571191711e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.769230769230769329e-01,3.387611590166276443e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.794871794871794879e-01,3.415671497365815767e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.820512820512820706e-01,3.443624418356696637e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.846153846153846256e-01,3.471477647412395839e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.871794871794871806e-01,3.499478887383921322e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.897435897435897356e-01,3.527855779026239702e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.923076923076923184e-01,3.556630836963517339e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.948717948717948734e-01,3.585587615221176971e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.974358974358974561e-01,3.614433059400104842e+00
1.259999999999999964e+01,2.837931034482758519e-01,2.000000000000000111e-01,3.643129539943426032e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.000000000000000056e-01,2.646417221540041442e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.025641025641025744e-01,2.668584752740785326e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.051282051282051294e-01,2.690693638138893728e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.076923076923076983e-01,2.712844317867253885e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.102564102564102672e-01,2.735255927058110270e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.128205128205128221e-01,2.758014040297752434e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.153846153846153910e-01,2.781181253658357111e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.179487179487179460e-01,2.805004541104109350e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.205128205128205149e-01,2.829582029612712990e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.230769230769230838e-01,2.854568206777975625e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.256410256410256387e-01,2.879630354862122488e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.282051282051282215e-01,2.904702521743245391e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.307692307692307765e-01,2.929597825653637688e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.333333333333333315e-01,2.953933471156538371e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.358974358974359142e-01,2.977724689023558469e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.384615384615384692e-01,3.001401071661996767e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.410256410256410242e-01,3.025315358259158316e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.435897435897435792e-01,3.049590567639485883e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.461538461538461620e-01,3.074226159790439450e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.487179487179487170e-01,3.099261370849022867e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.512820512820512997e-01,3.124760727442267516e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.538461538461538547e-01,3.150684533812096344e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.564102564102564097e-01,3.176804998483752751e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.589743589743589647e-01,3.202880000448130371e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.615384615384615474e-01,3.228927240908735286e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.641025641025641024e-01,3.255173542183622093e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.666666666666666852e-01,3.281905503516490796e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.692307692307692402e-01,3.309315261643579476e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.717948717948717952e-01,3.337276315144934724e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.743589743589743501e-01,3.365434376289230034e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.769230769230769329e-01,3.393563976783450009e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.794871794871794879e-01,3.421643534783547658e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.820512820512820706e-01,3.449620908208798298e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.846153846153846256e-01,3.477508459212881320e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.871794871794871806e-01,3.505555440981555027e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.897435897435897356e-01,3.533986295545907375e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.923076923076923184e-01,3.562817696141298285e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.948717948717948734e-01,3.591830896915053639e+00
1.259999999999999964e+01,2.906896551724137967e-01,1.974358974358974561e-01,3.620734068972911945e+00
1.259999999999999964e+01,2.906896551724137967e-01,2.000000000000000111e-01,3.649491034822199609e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.000000000000000056e-01,2.651480458666965134e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.025641025641025744e-01,2.673680757856493173e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.051282051282051294e-01,2.695827818724229719e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.076923076923076983e-01,2.718023543610484705e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.102564102564102672e-01,2.740484512444555154e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.128205128205128221e-01,2.763291383996525408e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.153846153846153910e-01,2.786503281967350976e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.179487179487179460e-01,2.810368506730419380e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.205128205128205149e-01,2.834987253487895931e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.230769230769230838e-01,2.860011408583212678e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.256410256410256387e-01,2.885102728126081484e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.282051282051282215e-01,2.910196192500134504e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.307692307692307765e-01,2.935111892326577987e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.333333333333333315e-01,2.959472902998571797e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.358974358974359142e-01,2.983297125098904878e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.384615384615384692e-01,3.007015448169469529e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.410256410256410242e-01,3.030978144763082138e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.435897435897435792e-01,3.055303749597778395e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.461538461538461620e-01,3.079990397382596612e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.487179487179487170e-01,3.105076479754231400e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.512820512820512997e-01,3.130625070845463931e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.538461538461538547e-01,3.156597892098453428e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.564102564102564097e-01,3.182771904499555049e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.589743589743589647e-01,3.208908936649985666e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.615384615384615474e-01,3.235020627905778046e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.641025641025641024e-01,3.261324980550023511e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.666666666666666852e-01,3.288108044472750180e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.692307692307692402e-01,3.315562530990169066e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.717948717948717952e-01,3.343559193590606604e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.743589743589743501e-01,3.371744474013019577e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.769230769230769329e-01,3.399896948465232605e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.794871794871794879e-01,3.427998839794350161e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.820512820512820706e-01,3.456002890767833957e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.846153846153846256e-01,3.483926125623340475e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.871794871794871806e-01,3.512019341020357288e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.897435897435897356e-01,3.540504259863820113e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.923076923076923184e-01,3.569392465732464270e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.948717948717948734e-01,3.598463424528186572e+00
1.259999999999999964e+01,2.975862068965517415e-01,1.974358974358974561e-01,3.627426514817934322e+00
1.259999999999999964e+01,2.975862068965517415e-01,2.000000000000000111e-01,3.656246807413685573e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.000000000000000056e-01,2.656881127886435046e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.025641025641025744e-01,2.679115824173881055e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.051282051282051294e-01,2.701302588963679252e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.076923076923076983e-01,2.723544817743293933e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.102564102564102672e-01,2.746056646726523276e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.128205128205128221e-01,2.768913971303161414e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.153846153846153910e-01,2.792172404629399640e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.179487179487179460e-01,2.816081182132393668e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.205128205128205149e-01,2.840742308315650888e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.230769230769230838e-01,2.865805390708586309e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.256410256410256387e-01,2.890927161690197700e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.282051282051282215e-01,2.916043573337991468e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.307692307692307765e-01,2.940981573427497775e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.333333333333333315e-01,2.965370166480960190e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.358974358974359142e-01,2.989229882010171924e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.384615384615384692e-01,3.012992672169831465e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.410256410256410242e-01,3.037006187421060321e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.435897435897435792e-01,3.061384539357403511e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.461538461538461620e-01,3.086124550602096228e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.487179487179487170e-01,3.111263612024564473e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.512820512820512997e-01,3.136863205811367905e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.538461538461538547e-01,3.162886504162079060e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.564102564102564097e-01,3.189115251728988909e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.589743589743589647e-01,3.215315308951602891e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.615384615384615474e-01,3.241492679225626894e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.641025641025641024e-01,3.267856875217046486e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.666666666666666852e-01,3.294693293442564563e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.692307692307692402e-01,3.322194991173748058e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.717948717948717952e-01,3.350229852531553476e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.743589743589743501e-01,3.378445008538135674e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.769230769230769329e-01,3.406623035029010538e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.794871794871794879e-01,3.434749830948787164e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.820512820512820706e-01,3.462782694253186300e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.846153846153846256e-01,3.490742940093379154e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.871794871794871806e-01,3.518882905467750177e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.897435897435897356e-01,3.547422029560626022e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.923076923076923184e-01,3.576367498977400139e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.948717948717948734e-01,3.605497480663154342e+00
1.259999999999999964e+01,3.044827586206896863e-01,1.974358974358974561e-01,3.634522564679305567e+00
1.259999999999999964e+01,3.044827586206896863e-01,2.000000000000000111e-01,3.663408871794674670e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.000000000000000056e-01,2.662637597183279414e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.025641025641025744e-01,2.684908262876698259e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.051282051282051294e-01,2.707136196402700978e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.076923076923076983e-01,2.729426308910164689e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.102564102564102672e-01,2.751990408405490918e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.128205128205128221e-01,2.774899782971241624e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.153846153846153910e-01,2.798206508606004395e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.179487179487179460e-01,2.822160384206138239e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.205128205128205149e-01,2.846864987010049308e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.230769230769230838e-01,2.871967964619752678e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.256410256410256387e-01,2.897121501693299628e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.282051282051282215e-01,2.922262529611510562e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.307692307692307765e-01,2.947224729169729773e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.333333333333333315e-01,2.971643082711961537e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.358974358974359142e-01,2.995540689853291916e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.384615384615384692e-01,3.019350341447078367e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.410256410256410242e-01,3.043416933949666614e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.435897435897435792e-01,3.067850231188614440e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.461538461538461620e-01,3.092645779343978774e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.487179487179487170e-01,3.117839838707874733e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.512820512820512997e-01,3.143492154905030311e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.538461538461538547e-01,3.169567365390355107e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.564102564102564097e-01,3.195852025977546695e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.589743589743589647e-01,3.222116100806061478e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.615384615384615474e-01,3.248360351677246793e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.641025641025641024e-01,3.274786101162282748e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.666666666666666852e-01,3.301677982746240581e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.692307692307692402e-01,3.329229201205350375e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.717948717948717952e-01,3.357304692957296499e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.743589743589743501e-01,3.385552259109626760e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.769230769230769329e-01,3.413758411467490816e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.794871794871794879e-01,3.441912581122000159e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.820512820512820706e-01,3.469976313540315438e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.846153846153846256e-01,3.497974876628819896e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.871794871794871806e-01,3.526162144728528958e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.897435897435897356e-01,3.554755664836394935e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.923076923076923184e-01,3.583758864225871310e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.948717948717948734e-01,3.612949076808369853e+00
1.259999999999999964e+01,3.113793103448275756e-01,1.974358974358974561e-01,3.642038126308884127e+00
1.259999999999999964e+01,3.113793103448275756e-01,2.000000000000000111e-01,3.670992993396403392e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.000000000000000056e-01,2.668771425444819378e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.025641025641025744e-01,2.691079594509865114e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.051282051282051294e-01,2.713350117331760902e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.076923076923076983e-01,2.735689432499791351e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.102564102564102672e-01,2.758307139277410336e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.128205128205128221e-01,2.781270079047575727e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.153846153846153910e-01,2.804626777541563865e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.179487179487179460e-01,2.828627243041203609e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.205128205128205149e-01,2.853376407432147044e+00
1.259999999999999964e+01,3.182758620689655205e-01,1.230769230769230838e-01,2.878520270232954648e+00
